How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
100-500,1.0,0.0,No,"If it didn't affect my work, it wouldn't matter",No,"If it didn't affect my work, it wouldn't matter",No,No,Yes,Possibly,24.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,,No,,"Yes, I observed",No,Yes,Yes,26.0,Male,United States of America,Minnesota,United States of America,Minnesota
More than 1000,1.0,1.0,Maybe,,Maybe,,"Yes, I observed",No,Yes,No,37.0,Male,Australia,,Australia,
More than 1000,1.0,1.0,No,"Not their business, it may bias the hiring process",No,"Not their business, it may bias the hiring process","Yes, I observed",No,Possibly,Yes,29.0,Male,United States of America,Massachusetts,United States of America,Massachusetts
26-100,1.0,1.0,No,,No,,"Yes, I experienced",,Yes,Yes,33.0,Female,United States of America,Tennessee,United States of America,Tennessee
More than 1000,1.0,1.0,Yes,I have a whopping pre-existing condition that would probably affect the insurance premiums of a small company,No,I have a whopping pre-existing condition that would probably affect the insurance premiums of a small company,"Yes, I observed",No,Yes,Yes,44.0,male,United States of America,Massachusetts,United States of America,Massachusetts
More than 1000,1.0,1.0,Maybe,"Depending on the work and environment, some physical issues wouldn't concern me, and some wouldn't concern my employer.",Maybe,"Depending on the work and environment, some physical issues wouldn't concern me, and some wouldn't concern my employer.",No,No,Yes,No,34.0,Female,United States of America,Minnesota,United States of America,Minnesota
More than 1000,1.0,1.0,No,None of their business.,No,None of their business.,Maybe/Not sure,No,No,Don't Know,35.0,Male,United States of America,Alabama,United States of America,Alabama
100-500,1.0,1.0,Yes,"My physical issue is RSI, and it has direct impact on my work. I mention it because employers are often willing to buy some ergonomic equipment I need in order to keep me from requiring surgery. Everybody wins.",No,"My physical issue is RSI, and it has direct impact on my work. I mention it because employers are often willing to buy some ergonomic equipment I need in order to keep me from requiring surgery. Everybody wins.",Maybe/Not sure,Maybe,Yes,Yes,32.0,uhhhhhhhhh fem genderqueer?,United States of America,New York,United States of America,Massachusetts
,,,Yes,,Maybe,,I've always been self-employed,No,Yes,Yes,23.0,,Canada,,Canada,
More than 1000,1.0,1.0,Yes,"If it was relevant, why not?",Maybe,"If it was relevant, why not?","Yes, I observed",No,Yes,No,31.0,Male,United States of America,California,United States of America,California
100-500,1.0,1.0,Yes,"I'm a wheelchair user; ""is your office accessible"" is basically job hunt question #1.",No,"I'm a wheelchair user; ""is your office accessible"" is basically job hunt question #1.",No,No,Yes,Yes,30.0,M,United States of America,California,United States of America,California
,,,No,In UK its illegal to ask those sort of questions at interview. If I was accepted for job based on my skills I'd then discuss accommodating my requirements.,No,In UK its illegal to ask those sort of questions at interview. If I was accepted for job based on my skills I'd then discuss accommodating my requirements.,No,No,No,No,42.0,male (hey this is the tech industry you're talking about),United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Maybe,It's better to disclose disabilities/illness after you have accepted the job to avoid discrimination ,No,It's better to disclose disabilities/illness after you have accepted the job to avoid discrimination ,"Yes, I experienced",,Yes,Yes,26.0,female (cis),United States of America,New York,United States of America,New York
100-500,0.0,1.0,Maybe,It depends on how much I think it would affect my work and if I would need anything specific from my potential employer in order to work there successfully,Maybe,It depends on how much I think it would affect my work and if I would need anything specific from my potential employer in order to work there successfully,"Yes, I observed",No,Possibly,No,29.0,Female,Germany,,Germany,
More than 1000,0.0,1.0,Maybe,It would highly depend on what that specific issue was.,No,It would highly depend on what that specific issue was.,"Yes, I observed",Maybe,Possibly,Possibly,35.0,Male,United States of America,Alaska,United States of America,Alaska
,,,Yes,"If the employer might have the means to improve my situation, he should be responsible to provide it, so I can perform better.",No,"If the employer might have the means to improve my situation, he should be responsible to provide it, so I can perform better.",No,,No,No,31.0,Male,Spain,,Spain,
More than 1000,1.0,1.0,Maybe,,No,,Maybe/Not sure,,Don't Know,No,26.0,God King of the Valajar,United States of America,Minnesota,United States of America,Minnesota
100-500,1.0,1.0,No,,No,,No,No,Possibly,Possibly,30.0,Male,United States of America,California,United States of America,California
500-1000,0.0,1.0,No,I don't believe it's a topic relative in an interview.  Unless it requires accommodation that would prevent me from doing part of the job.,Maybe,I don't believe it's a topic relative in an interview.  Unless it requires accommodation that would prevent me from doing part of the job.,No,No,Don't Know,Don't Know,39.0,M,United States of America,Michigan,United States of America,Michigan
26-100,1.0,1.0,Yes,,Maybe,,Maybe/Not sure,,No,Don't Know,29.0,Male,Spain,,Spain,
26-100,1.0,1.0,Maybe,Not sure about reaction,No,Not sure about reaction,No,Maybe,No,No,27.0,Male,Spain,,Spain,
26-100,1.0,1.0,Maybe,Depending on whether it can affect or not to work,Maybe,Depending on whether it can affect or not to work,Maybe/Not sure,No,Don't Know,Don't Know,29.0,Male,Spain,,Spain,
26-100,1.0,1.0,Maybe,Depends on the interview topics,No,Depends on the interview topics,No,No,No,No,43.0,Male,Spain,,Spain,
25-Jun,1.0,1.0,No,It could be a reason to be rejected,No,It could be a reason to be rejected,No,No,No,Don't Know,31.0,Male,Spain,,Spain,
26-100,1.0,1.0,No,I don't think it's relevant,No,I don't think it's relevant,No,No,No,Don't Know,27.0,Female,Spain,,Spain,
26-100,1.0,1.0,Yes,"If it's relevant for the job, better they know early to establish trust. If it's not relevant to the job, no risk.",Yes,"If it's relevant for the job, better they know early to establish trust. If it's not relevant to the job, no risk.",No,No,No,No,36.0,Male,Greece,,Netherlands,
500-1000,1.0,0.0,Yes,It seems straightforward.,Maybe,It seems straightforward.,Maybe/Not sure,,Yes,No,44.0,Female ,United States of America,Washington,United States of America,Washington
More than 1000,1.0,1.0,Yes,It affects performance and it a form of expectation management.,Maybe,It affects performance and it a form of expectation management.,No,No,No,No,44.0,Cis male,United States of America,California,United States of America,California
More than 1000,1.0,1.0,Maybe,It depends on whether I think it would affect my ability to get the job.,Maybe,It depends on whether I think it would affect my ability to get the job.,No,No,Yes,Yes,27.0,female,United States of America,Washington,United States of America,Washington
More than 1000,1.0,1.0,Yes,,Maybe,,"Yes, I experienced",No,Yes,Yes,42.0,Female,United States of America,California,United States of America,California
More than 1000,1.0,1.0,Maybe,,Maybe,,Maybe/Not sure,No,Yes,Yes,28.0,male,United States of America,Washington,United States of America,Washington
25-Jun,0.0,1.0,Yes,,No,,"Yes, I experienced",Yes,Yes,Yes,43.0,Male,United States of America,New York,United States of America,New York
,,,Maybe,"I depends what the health issue is and if it's a short or long term issue. For example, I would definitely mention it if it was a short term issue. If it was a long term issue, I'd be apprehensive since I'd be afraid that it would cost me the job even if I knew I could do the job well. If it would affect my job, I would very likely mention it.",No,"I depends what the health issue is and if it's a short or long term issue. For example, I would definitely mention it if it was a short term issue. If it was a long term issue, I'd be apprehensive since I'd be afraid that it would cost me the job even if I knew I could do the job well. If it would affect my job, I would very likely mention it.","Yes, I experienced",,Yes,Yes,28.0,Female,Canada,,Canada,
More than 1000,1.0,1.0,No,,No,,"Yes, I observed",Yes,Yes,Yes,49.0,Female,United States of America,Washington,United States of America,Washington
25-Jun,1.0,1.0,Yes,,Maybe,,Maybe/Not sure,Maybe,Yes,Possibly,32.0,Male,France,,France,
100-500,1.0,1.0,No,,No,,No,Yes,Don't Know,Don't Know,33.0,M,United States of America,California,United States of America,California
25-Jun,1.0,0.0,No,Privacy,No,Privacy,No,No,Possibly,Possibly,45.0,Male,United States of America,Illinois,United States of America,Illinois
26-100,1.0,1.0,Yes,Physical health issues tend to have less of a stigma. People understand them more (especially if it is one they can see).,No,Physical health issues tend to have less of a stigma. People understand them more (especially if it is one they can see).,No,,Yes,Yes,25.0,Female,United States of America,Indiana,United States of America,Indiana
26-100,1.0,1.0,Maybe,"I have no physical disabilities, but I have had impending surgeries around the time of interviews, and so I've revealed that for planning purposes.",No,"I have no physical disabilities, but I have had impending surgeries around the time of interviews, and so I've revealed that for planning purposes.",No,,Yes,Yes,42.0,Male,United States of America,Massachusetts,United States of America,Massachusetts
25-Jun,1.0,1.0,Maybe,I would mention it if it had an impact on the job I was applying for ,No,I would mention it if it had an impact on the job I was applying for ,"Yes, I observed",Yes,No,Don't Know,25.0,Male,United States of America,Ohio,United States of America,Ohio
100-500,1.0,1.0,No,I want to be hired and they don't want to hire people who they think will cost them a lot on insurance,No,I want to be hired and they don't want to hire people who they think will cost them a lot on insurance,No,No,No,Possibly,25.0,Female,United States of America,Ohio,United States of America,Ohio
500-1000,1.0,0.0,Yes,"If it were something that might impact my ability to do the job, I would raise it ",Maybe,"If it were something that might impact my ability to do the job, I would raise it ",Maybe/Not sure,,Possibly,No,31.0,Female,Ireland,,United States of America,California
26-100,0.0,1.0,No,I would be worried that it might negatively affect my chances of being offered the job.,No,I would be worried that it might negatively affect my chances of being offered the job.,No,Maybe,No,No,22.0,Female,United States of America,New Jersey,United States of America,New York
,,,No,,No,,"Yes, I observed",,Yes,Yes,33.0,f,United States of America,New Mexico,United States of America,New Mexico
More than 1000,1.0,1.0,Yes,I will not discuss serious issues,No,I will not discuss serious issues,Maybe/Not sure,No,,Yes,40.0,Male,India,,India,
26-100,1.0,1.0,No,"Unless my physical health issue has a direct impact on my job performance, I don't think my employer needs to know about it during an interview.

This belief is largely based on the idea that this information will be used against me.",No,"Unless my physical health issue has a direct impact on my job performance, I don't think my employer needs to know about it during an interview.

This belief is largely based on the idea that this information will be used against me.",Maybe/Not sure,,Don't Know,Possibly,28.0,Male,United States of America,Tennessee,United States of America,Tennessee
100-500,1.0,1.0,Maybe,It would depend if there were any physical requirements for the job,No,It would depend if there were any physical requirements for the job,Maybe/Not sure,,Possibly,Possibly,37.0,Male,United States of America,Minnesota,United States of America,Minnesota
More than 1000,1.0,1.0,Yes,There is no stigma with a physical injiry. A physical injiry showcases someone who is outgoing and adventurous. I interviewed once in a cast. It was a good story about sports. I also interviewed later on recently discovering I have been diagnosed with depression....I never would or will open up about it because people see it as a weakness and a liability. People also don't want to deal with it because they usually expect developers to be mindless machines that just work 80 hour weeks on Soylent,No,There is no stigma with a physical injiry. A physical injiry showcases someone who is outgoing and adventurous. I interviewed once in a cast. It was a good story about sports. I also interviewed later on recently discovering I have been diagnosed with depression....I never would or will open up about it because people see it as a weakness and a liability. People also don't want to deal with it because they usually expect developers to be mindless machines that just work 80 hour weeks on Soylent,"Yes, I observed",Yes,Yes,Yes,35.0,Male,Canada,,Canada,
,,,Maybe,Some physical health conditions may be seen as limiting my ability. Unlike a mental health condition which results in the belief that I am incompetent.,No,Some physical health conditions may be seen as limiting my ability. Unlike a mental health condition which results in the belief that I am incompetent.,"Yes, I experienced",No,Yes,Yes,47.0,Male,United States of America,Ohio,United States of America,Ohio
26-100,1.0,1.0,No,,No,,No,No,Don't Know,Possibly,20.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,0.0,Maybe,Some employers do not like to have employee's with some physical health issue.,No,Some employers do not like to have employee's with some physical health issue.,No,No,Possibly,No,27.0,Female,Spain,,Spain,
100-500,0.0,1.0,No,Stigma!,No,Stigma!,"Yes, I observed",Yes,Possibly,No,62.0,Female,United States of America,Missouri,United States of America,Missouri
,,,No,,No,,No,,No,No,42.0,male,United States of America,New Jersey,United States of America,New York
,,,Maybe,Fear of not being hired if they knew.,Maybe,Fear of not being hired if they knew.,"Yes, I observed",No,Yes,Yes,35.0,Male,United States of America,Georgia,United States of America,Georgia
26-100,1.0,1.0,Maybe,,Maybe,,Maybe/Not sure,,Possibly,Possibly,29.0,Male,Germany,,Germany,
More than 1000,1.0,1.0,Yes,less stigma around physical conditions,Maybe,less stigma around physical conditions,"Yes, I experienced",Yes,Yes,Yes,37.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,No,"Legal or not, it would influence how I was viewed as a candidate",No,"Legal or not, it would influence how I was viewed as a candidate","Yes, I observed",No,Yes,Yes,51.0,Male,United States of America,Ohio,United States of America,Ohio
More than 1000,0.0,1.0,Yes,It depends on how I think they would react?,Maybe,It depends on how I think they would react?,"Yes, I observed",No,Possibly,No,60.0,Male,United States of America,Massachusetts,United States of America,Massachusetts
,,,No,I would be concerned it would negatively impact my chances of being hired.,No,I would be concerned it would negatively impact my chances of being hired.,Maybe/Not sure,Yes,Possibly,Yes,30.0,F,United States of America,Illinois,United States of America,Illinois
100-500,1.0,0.0,Maybe,"being overweight, i would be loath to bring up physical health in an interview because many people have misinformed ideas about the relationship between weight and physical health, especially when it comes to bmi.",No,"being overweight, i would be loath to bring up physical health in an interview because many people have misinformed ideas about the relationship between weight and physical health, especially when it comes to bmi.",Maybe/Not sure,No,Yes,Yes,36.0,f,United States of America,Michigan,United States of America,Michigan
26-100,1.0,1.0,Maybe,I don't know how they would react. I would need more information about their company and how they do business.,Maybe,I don't know how they would react. I would need more information about their company and how they do business.,Maybe/Not sure,No,Possibly,Don't Know,38.0,m,United States of America,Nebraska,United States of America,Nebraska
100-500,1.0,1.0,Yes,,Maybe,,No,No,Yes,Possibly,30.0,Woman,Mexico,,Mexico,
100-500,1.0,0.0,Yes,It is what it is.  It's easy to define and people aren't afraid of it.,Maybe,It is what it is.  It's easy to define and people aren't afraid of it.,Maybe/Not sure,No,Yes,Yes,35.0,Male,United Kingdom,,United Kingdom,
,,,Maybe,it might not be relevant,No,it might not be relevant,Maybe/Not sure,No,Yes,No,50.0,female,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Yes,Because I want them to be fully aware of any issues should they come up in the future.,No,Because I want them to be fully aware of any issues should they come up in the future.,No,No,Yes,No,41.0,Male,United Kingdom,,United Kingdom,
,,,No,Afraid it would keep me from getting a job,No,Afraid it would keep me from getting a job,Maybe/Not sure,,Yes,Yes,58.0,female,United States of America,Texas,United States of America,Texas
5-Jan,0.0,1.0,No,,Yes,,Maybe/Not sure,,No,Yes,27.0,Male,United States of America,Texas,United States of America,Texas
100-500,0.0,1.0,Maybe,Can harm  me ,Maybe,Can harm  me ,Maybe/Not sure,No,Yes,No,53.0,man,Switzerland,,Swaziland,
25-Jun,0.0,1.0,Maybe,"If the issue did not directly affect my ability to do my job, I would not offer the information but I would discuss if asked directly.",No,"If the issue did not directly affect my ability to do my job, I would not offer the information but I would discuss if asked directly.",Maybe/Not sure,No,Don't Know,Possibly,42.0,Female,United States of America,North Dakota,United States of America,North Dakota
26-100,0.0,1.0,Maybe,,Maybe,,No,Maybe,Possibly,No,33.0,male,Germany,,Germany,
100-500,1.0,0.0,Yes,My diabetes is very obvious.,No,My diabetes is very obvious.,"Yes, I experienced",No,Yes,Yes,25.0,Nonbinary,United States of America,Michigan,United States of America,Michigan
25-Jun,1.0,1.0,No,Fear of being judged.,No,Fear of being judged.,No,,No,No,40.0,Male,United States of America,Tennessee,United States of America,Tennessee
25-Jun,0.0,1.0,Yes,"I like to tell interviewers that I have OCD and that makes me a great programmer, so that I can let them know about my chronic health while also making a joke and making me seem, uhh, I *guess* more desirable?",Yes,"I like to tell interviewers that I have OCD and that makes me a great programmer, so that I can let them know about my chronic health while also making a joke and making me seem, uhh, I *guess* more desirable?",No,No,Yes,Yes,25.0,My sex is female.,United States of America,Indiana,United States of America,Indiana
100-500,1.0,1.0,No,,No,,"Yes, I observed",Maybe,No,No,49.0,female,United States of America,Michigan,United States of America,Michigan
25-Jun,1.0,1.0,No,I already am a fat woman in her 40s. I don't need to raise more red flags at an interview. ,No,I already am a fat woman in her 40s. I don't need to raise more red flags at an interview. ,"Yes, I experienced",Yes,Yes,Yes,44.0,Female,United States of America,Ohio,United States of America,Ohio
100-500,1.0,1.0,No,duh,No,duh,Maybe/Not sure,Maybe,Yes,Yes,30.0,Male,United States of America,Ohio,United States of America,Ohio
100-500,1.0,0.0,Maybe,"Seems like it might affect the outcome of the interview/hiring, even if it's not supposed to. Plus, if it's not supposed to be relevant, then why would I speak to it at all?",No,"Seems like it might affect the outcome of the interview/hiring, even if it's not supposed to. Plus, if it's not supposed to be relevant, then why would I speak to it at all?",Maybe/Not sure,No,Possibly,Possibly,28.0,Male,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Maybe,,Maybe,,Maybe/Not sure,No,Yes,Possibly,26.0,M,United States of America,Ohio,United States of America,Ohio
26-100,1.0,1.0,No,It's none of their business,No,It's none of their business,No,Maybe,Yes,Yes,31.0,Male,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,No,Only if it is contagious or would require significant impact to my ability to perform the work.,No,Only if it is contagious or would require significant impact to my ability to perform the work.,No,No,Yes,Yes,32.0,Male,United States of America,Ohio,United States of America,Ohio
100-500,1.0,1.0,Maybe,It may not be relevant to the line of work,Maybe,It may not be relevant to the line of work,No,,No,Don't Know,24.0,Male,United States of America,Iowa,United States of America,Iowa
100-500,1.0,1.0,Maybe,it depends a lot on if it would impact my work or require special assistance. i don't have any that meet that requirement so i never have.,No,it depends a lot on if it would impact my work or require special assistance. i don't have any that meet that requirement so i never have.,"Yes, I observed",Yes,Possibly,Possibly,34.0,male,United States of America,Iowa,United States of America,Iowa
100-500,1.0,1.0,No,Fear of it excluding me,No,Fear of it excluding me,Maybe/Not sure,No,Yes,Yes,31.0,female,United States of America,Iowa,United States of America,Iowa
100-500,1.0,1.0,Yes,If it affected my ability to perform my job,No,If it affected my ability to perform my job,No,No,No,No,47.0,Male,United States of America,Michigan,United States of America,Michigan
100-500,1.0,1.0,Maybe,"If it were obvious and would affect the work or need accommodation, I would (i.e. artificial limb). If it were not obvious, I would not (i.e. The chronic pain in my lower back, or my treatment for bloodclot prevention).",Maybe,"If it were obvious and would affect the work or need accommodation, I would (i.e. artificial limb). If it were not obvious, I would not (i.e. The chronic pain in my lower back, or my treatment for bloodclot prevention).",No,No,No,No,59.0,male,United States of America,Georgia,United States of America,Iowa
100-500,1.0,1.0,Yes,If it interfered with my work,No,If it interfered with my work,"Yes, I observed",No,Yes,Yes,44.0,male,United States of America,Ohio,United States of America,Ohio
100-500,1.0,1.0,No,Less likely to be hired,No,Less likely to be hired,No,No,No,No,26.0,Male,United States of America,Ohio,United States of America,Ohio
,,,Maybe,Depends on whether it would affect my job performance.  If it doesn't then there is no reason to discuss it during the interview and there is no right for them to ask about it either.,Maybe,Depends on whether it would affect my job performance.  If it doesn't then there is no reason to discuss it during the interview and there is no right for them to ask about it either.,No,No,Yes,Yes,43.0,Male,United States of America,Maryland,United States of America,Maryland
,,,Maybe,Depending if it will affect my job,No,Depending if it will affect my job,No,Maybe,Don't Know,Don't Know,39.0,Male,United Kingdom,,United Kingdom,
5-Jan,1.0,1.0,Maybe,,Maybe,,No,,Don't Know,Possibly,43.0,M,United States of America,Ohio,United States of America,Ohio
,,,Yes,If I'm going to need support and time to address a health issue I would reveal so at interview.,Maybe,If I'm going to need support and time to address a health issue I would reveal so at interview.,No,Maybe,Yes,Yes,40.0,Male,United Kingdom,,United Kingdom,
5-Jan,1.0,1.0,Yes,Physical health issues aren't seen that bad.,No,Physical health issues aren't seen that bad.,Maybe/Not sure,No,No,Possibly,22.0,male,Germany,,Germany,
25-Jun,1.0,1.0,Yes,,Yes,,No,No,No,Yes,24.0,m,Netherlands,,Netherlands,
500-1000,1.0,1.0,Maybe,I would only bring it up if some special accommodation was needed,No,I would only bring it up if some special accommodation was needed,"Yes, I observed",,Yes,Yes,35.0,male,United States of America,Ohio,United States of America,Ohio
26-100,1.0,0.0,No,I don't believe discussing that during the interview phase is appropriate.,No,I don't believe discussing that during the interview phase is appropriate.,No,Maybe,No,No,40.0,Male,United States of America,Indiana,United States of America,Indiana
,,,No,,No,,No,No,Yes,Possibly,26.0,Male,Canada,,Canada,
,,,Maybe,"If the interviewer asks, then I would consider, otherwise I would not touch on health issues, because I fear they can see it wrong, like I would skip work days",No,"If the interviewer asks, then I would consider, otherwise I would not touch on health issues, because I fear they can see it wrong, like I would skip work days",Maybe/Not sure,,Yes,Yes,23.0,Male,Brazil,,Brazil,
100-500,0.0,1.0,Maybe,,Maybe,,No,No,Yes,No,30.0,Male,United States of America,Illinois,United States of America,Illinois
500-1000,0.0,1.0,Maybe,,No,,No,No,No,Don't Know,37.0,Male,United States of America,Illinois,United States of America,Illinois
5-Jan,1.0,1.0,Yes,Physical health problems have a different stigma than mental health problems.,No,Physical health problems have a different stigma than mental health problems.,No,Maybe,Yes,Yes,27.0,Male,United States of America,Ohio,United States of America,Ohio
100-500,1.0,1.0,No,Not relevant.,No,Not relevant.,No,No,Yes,Possibly,42.0,male,United States of America,Ohio,United States of America,Ohio
100-500,1.0,0.0,No,,No,,No,No,Yes,Possibly,49.0,Male,United States of America,Minnesota,United States of America,Minnesota
26-100,1.0,1.0,Maybe,Most of my physical health issues don't directly affect my ability to work.,Maybe,Most of my physical health issues don't directly affect my ability to work.,No,,Possibly,Yes,40.0,Male,United States of America,Indiana,United States of America,Indiana
100-500,1.0,0.0,No,,No,,"Yes, I experienced",No,Yes,Yes,26.0,female,United States of America,Minnesota,United States of America,Minnesota
500-1000,1.0,1.0,No,I believe that it could result in my being less likely to get the job. ,No,I believe that it could result in my being less likely to get the job. ,"Yes, I observed",No,Possibly,Yes,29.0,Male,United States of America,Texas,United States of America,California
26-100,1.0,0.0,Maybe,"If it was an issue that would directly impact my ability to perform my duties, I would be transparent about it.",Maybe,"If it was an issue that would directly impact my ability to perform my duties, I would be transparent about it.",Maybe/Not sure,No,No,No,39.0,F,United States of America,Indiana,United States of America,Indiana
More than 1000,0.0,1.0,No,Not pertinent to the discussion of employment.,No,Not pertinent to the discussion of employment.,No,Yes,Yes,Yes,40.0,M,United States of America,Illinois,United States of America,Illinois
26-100,1.0,1.0,Yes,"
",No,"
",No,,No,Don't Know,23.0,male,Ukraine,,Ukraine,
26-100,1.0,1.0,Maybe,Don't want to make them think about legal implications.,No,Don't want to make them think about legal implications.,Maybe/Not sure,Yes,No,No,50.0,M,United States of America,Indiana,United States of America,Indiana
More than 1000,0.0,1.0,Maybe,"To a large degree, I'm not certain that it would have any relevance on my ability to do my job effectively. ",Maybe,"To a large degree, I'm not certain that it would have any relevance on my ability to do my job effectively. ",Maybe/Not sure,No,Yes,Yes,35.0,Male,United States of America,Indiana,United States of America,Indiana
100-500,1.0,1.0,Yes,I would love to talk about it and find potential solutions within the workplace.,No,I would love to talk about it and find potential solutions within the workplace.,"Yes, I observed",No,Yes,Possibly,24.0,Male,Mexico,,Mexico,
26-100,1.0,1.0,Maybe,If it was an issue that interfered with my performance some of the time.  I would want them to know so they could accommodate that.  ,No,If it was an issue that interfered with my performance some of the time.  I would want them to know so they could accommodate that.  ,"Yes, I experienced",No,Yes,Yes,35.0,female,United States of America,Indiana,United States of America,Indiana
26-100,1.0,1.0,No,Fear of not getting the job,No,Fear of not getting the job,No,No,Possibly,No,36.0,Male,United States of America,Indiana,United States of America,Indiana
26-100,1.0,0.0,Maybe,I think it would depend on whether or not I felt I could get along without mentioning it.  I would be uncertain about how it would affect my getting hired or not.  I might be tempted to not say anything until after I had been doing the job well for a while.,No,I think it would depend on whether or not I felt I could get along without mentioning it.  I would be uncertain about how it would affect my getting hired or not.  I might be tempted to not say anything until after I had been doing the job well for a while.,"Yes, I observed",Yes,No,No,50.0,Female,United States of America,Indiana,United States of America,Indiana
26-100,1.0,1.0,Maybe,If it was relevant to the job I would feel it was necessary to bring it up.,No,If it was relevant to the job I would feel it was necessary to bring it up.,No,,No,No,47.0,female,United States of America,Indiana,United States of America,Indiana
26-100,1.0,0.0,No,,No,,"Yes, I experienced",No,No,No,30.0,m,United States of America,Indiana,United States of America,Indiana
100-500,1.0,1.0,No,,No,,Maybe/Not sure,,Yes,Yes,30.0,m,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,Potential employers don't need to know about my physical health.,No,Potential employers don't need to know about my physical health.,No,No,Yes,Yes,32.0,Male,United States of America,Maryland,United States of America,Maryland
100-500,1.0,0.0,No,That's covered over HIPAA.  It's also none of their business.  ,No,That's covered over HIPAA.  It's also none of their business.  ,No,No,Yes,Yes,38.0,,United States of America,Washington,United States of America,Washington
26-100,1.0,1.0,No,"If it doesn't keep me from doing my job, I don't think it's worth sharing.",No,"If it doesn't keep me from doing my job, I don't think it's worth sharing.",No,No,Yes,Yes,38.0,Male,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Maybe,"Fear of judgment or potential impact on my ""hire-ability""",Maybe,"Fear of judgment or potential impact on my ""hire-ability""",Maybe/Not sure,Maybe,Yes,Yes,38.0,Male,United States of America,Illinois,United States of America,Illinois
More than 1000,1.0,1.0,No,If it does not impact my ability to work it's not their business,No,If it does not impact my ability to work it's not their business,No,,No,No,26.0,Female,United States of America,Massachusetts,United States of America,Massachusetts
More than 1000,1.0,1.0,No,Never bring up any physical or mental health issues.  HR doesn't want a prospective employee with problems.,No,Never bring up any physical or mental health issues.  HR doesn't want a prospective employee with problems.,"Yes, I experienced",Yes,Yes,Yes,45.0,female,United States of America,California,United States of America,California
500-1000,1.0,1.0,No,Not comfortable,No,Not comfortable,No,Maybe,Don't Know,Possibly,37.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,0.0,No,I don't think it is the place to bring that up unless it directly affects my ability to perform the job.,No,I don't think it is the place to bring that up unless it directly affects my ability to perform the job.,No,Maybe,Yes,Yes,24.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,I feel that it would hurt my chances of getting the job- it would bring baggage in the door,No,I feel that it would hurt my chances of getting the job- it would bring baggage in the door,Maybe/Not sure,No,Yes,Yes,33.0,Female,United States of America,Michigan,United States of America,Michigan
100-500,1.0,1.0,No,,No,,"Yes, I observed",Maybe,No,No,35.0,female,United States of America,Tennessee,United States of America,Tennessee
100-500,1.0,1.0,Yes,"If that physical health issue could potentially impact my day-to-day ability to work, I would want them to know that information in order to find out what accommodations they have.",Yes,"If that physical health issue could potentially impact my day-to-day ability to work, I would want them to know that information in order to find out what accommodations they have.",No,No,Yes,No,44.0,Male,United States of America,South Dakota,United States of America,South Dakota
100-500,1.0,1.0,Yes,I want to know if I have the flexibility to go to routine 6 month follow up appointments,No,I want to know if I have the flexibility to go to routine 6 month follow up appointments,No,No,Yes,Yes,27.0,female,United States of America,Massachusetts,United States of America,Massachusetts
100-500,1.0,0.0,Maybe,It may impact their likelihood to offer me the job.,No,It may impact their likelihood to offer me the job.,"Yes, I observed",No,No,No,33.0,Male,United States of America,Michigan,United States of America,Michigan
100-500,1.0,0.0,No,"They could potentially see that as ""too much work"" and not hire me.",No,"They could potentially see that as ""too much work"" and not hire me.",No,No,No,No,28.0,Female,United States of America,California,United States of America,California
More than 1000,0.0,1.0,Maybe,Might not get the job.,Maybe,Might not get the job.,Maybe/Not sure,Maybe,Don't Know,Yes,35.0,Male,United States of America,Indiana,United States of America,Indiana
More than 1000,1.0,1.0,Maybe,I would be willing to only if it would affect my day-to-day ability to get work done. and if they could help with it somehow,No,I would be willing to only if it would affect my day-to-day ability to get work done. and if they could help with it somehow,"Yes, I observed",No,Yes,Yes,23.0,Male,United States of America,South Carolina,United States of America,South Carolina
,,,Yes,Better that they know,Maybe,Better that they know,"Yes, I experienced",Maybe,Possibly,Yes,53.0,Male,Australia,,Australia,
25-Jun,1.0,1.0,No,Fear of prejudice,No,Fear of prejudice,Maybe/Not sure,,Yes,Yes,32.0,Male,Netherlands,,Netherlands,
,,,No,Would make discrimination possible,No,Would make discrimination possible,"Yes, I observed",No,Yes,No,24.0,male,Germany,,Germany,
